Net Status Report
Filename     : C:\Users\Admin\Desktop\dinhdung.PcbDoc
Date         : 8/29/2025
Time         : 9:11:38 PM
Time Elapsed : 00:00:00

Nets, Layer, Length
    +5, Signal Layers Only, 0mils
    12V+, Signal Layers Only, 0mils
    D14, Signal Layers Only, 0mils
    D4, Signal Layers Only, 315.215mils
    D5, Signal Layers Only, 436.402mils
    D6, Signal Layers Only, 577.823mils
    D7, Signal Layers Only, 722.173mils
    DHT22, Signal Layers Only, 0mils
    E, Signal Layers Only, 507.763mils
    GND, Signal Layers Only, 0mils
    IN1, Signal Layers Only, 0mils
    IN2, Signal Layers Only, 0mils
    IO34, Signal Layers Only, 0mils
    NetC1_2, Signal Layers Only, 2092.635mils
    NetD1_C, Signal Layers Only, 0mils
    NetD2_A, Signal Layers Only, 0mils
    NetD3_A, Signal Layers Only, 0mils
    NetJP1_2, Signal Layers Only, 1656.683mils
    NetJP2_2, Signal Layers Only, 2358.486mils
    NetJP3_2, Signal Layers Only, 2876.556mils
    NetJP5_1, Signal Layers Only, 0mils
    NetJP5_3, Signal Layers Only, 0mils
    NetJP6_1, Signal Layers Only, 0mils
    NetJP6_3, Signal Layers Only, 0mils
    NetJump man1_2, Signal Layers Only, 271.722mils
    NetL2_2, Signal Layers Only, 165.326mils
    NetL3_1, Signal Layers Only, 0mils
    NetL4_2, Signal Layers Only, 0mils
    NetL5_1, Signal Layers Only, 0mils
    NetL6_2, Signal Layers Only, 0mils
    NetL7_1, Signal Layers Only, 0mils
    NetLCD1_3, Signal Layers Only, 642.554mils
    NetQ2_2, Signal Layers Only, 0mils
    NetQ3_2, Signal Layers Only, 0mils
    NetR10_2, Signal Layers Only, 0mils
    NetR13_1, Signal Layers Only, 0mils
    NetR14_2, Signal Layers Only, 0mils
    NetR9_1, Signal Layers Only, 0mils
    NetSW1_1, Signal Layers Only, 0mils
    NetSW2_1, Signal Layers Only, 0mils
    NetSW3_1, Signal Layers Only, 0mils
    P3Z, Signal Layers Only, 568.866mils
    RD, Signal Layers Only, 678.474mils
    RS, Signal Layers Only, 863.829mils
    SCL, Signal Layers Only, 2122.322mils
    SDA, Signal Layers Only, 1630.241mils
    VCC, Signal Layers Only, 3868.748mils
count : 47
